GEOM_X;GEOM_Y;TERYT_KOD;ULICA_NR
7430676,032;5550509,065;3018;cienista_86
7430704,218;5550521,394;7722;kaczeñcowa_3
7430736,48;5550510,605;7722;kaczeñcowa_5
7430792,51;5550568,62;7722;kaczeñcowa_4
7433817,457;5552174,297;5601;g³êbinowa_16
7433964,811;5551741,95;21425;studzienna_15a
7433698,111;5551425,834;7963;kantorowicka_10
7433754,088;5552371,252;6103;grêba³owska_84i
7433732,881;5552343,109;6103;grêba³owska_84d
7433987,646;5552438,986;11349;luborzycka_25
7433957,236;5552463,152;11349;luborzycka_25a
7433917,485;5552106,15;6103;grêba³owska_66
7433876,267;5552134,313;6103;grêba³owska_68a
7433432,69;5551992,465;7641;jubileuszowa_4
7433484,531;5551624,826;5452;geodetów_7
7433740,006;5551447,389;6103;grêba³owska_4a
7433307,121;5551833,091;14685;obwodowa_1
7433328,551;5551856,961;14685;obwodowa_3
7433719,689;5551452,196;6103;grêba³owska_9a
7433665,08;5551514,305;6103;grêba³owska_17
7434876,496;5551785,485;3624;darwina_84
7434866,523;5551749,616;3624;darwina_80
7434871,568;5551674,954;3624;darwina_72
7435335,98;5551433,296;18922;rowida_7
7435371,028;5551287,595;11335;lubocka_122
7434987,325;5551393,805;11335;lubocka_86
7435022,675;5551396,985;11335;lubocka_88b
7435034,626;5551385,965;11335;lubocka_90
7435056,03;5551390,3;11335;lubocka_92
7435076,328;5551386,64;11335;lubocka_94
7435104,701;5551373,525;11335;lubocka_96
7435157,2;5551357,38;11335;lubocka_102
7435198,239;5551317,935;11335;lubocka_108
7435255,054;5551328,28;11335;lubocka_114
7435304,786;5551341,105;11335;lubocka_115
7435307,87;5551308,251;11335;lubocka_116
7435351,523;5551297,325;11335;lubocka_120
7437202,139;5551534,15;23487;wadowska_28
7437056,563;5551502,684;23487;wadowska_16
7435576,117;5551251,51;11335;lubocka_132
7437276,508;5551533,519;23487;wadowska_34
7438981,59;5551481,296;23949;wêgrzynowicka_7
7438564,274;5551127,78;20674;sp³awy_5
7438515,403;5551143,176;20674;sp³awy_3
7438523,6;5551143,081;20674;sp³awy_3a
7438512,922;5551082,71;20674;sp³awy_4
7438337,997;5551121,455;20674;sp³awy_1
7438403,574;5551569,53;20674;sp³awy_19
7437850,089;5551305,162;5570;glinik_14
7437836,471;5551326,883;5570;glinik_16
7437826,74;5551345,516;5570;glinik_18
7437814,8;5551366,13;5570;glinik_20
7437798,183;5551394,059;5570;glinik_22
7437794,139;5551400,787;5570;glinik_24
7428967,555;5547200,731;13708;na za³êczu_25
7429528,595;5547322,62;13708;na za³êczu_13
7429556,075;5547267,315;15239;osiedle_1
7429536,781;5547261,635;15239;osiedle_3
7429597,97;5547215,779;19956;siwka_10
7429528,442;5547187,57;19956;siwka_5
7429675,066;5547173,245;19956;siwka_11
7429546,663;5547224,183;19956;siwka_7
7429561,986;5547286,014;15239;osiedle_4
7429578,469;5547290,965;15239;osiedle_2
7429573,981;5547339,245;13708;na za³êczu_9
7429861,78;5547350,3;13708;na za³êczu_1
7429913,276;5547440,54;13708;na za³êczu_2
7428646,16;5546994,998;3034;ciep³ownicza_1a
7428569,5;5547094,173;3034;ciep³ownicza_1b
7428963,125;5546464,313;21725;szafrañska_11
7429549,727;5547190,355;19956;siwka_9
7429472,484;5547270,655;15239;osiedle_8a
7429261,279;5548516,53;16939;pokoju_89
7429261,279;5548516,53;16939;pokoju_89
7429274,387;5548458,535;2614;centralna_36
7429245,323;5548463,36;2614;centralna_32
7429205,476;5548437,12;2614;centralna_34
7429167,92;5548481,025;16939;pokoju_87
7429167,92;5548481,025;16939;pokoju_87
7429469,353;5548594,123;24772;woŸniców_1
7429429,402;5548629,557;2614;centralna_30
7428923,466;5548372,831;16939;pokoju_81
7428923,466;5548372,831;16939;pokoju_81
7428884,671;5548331,349;13621;na ³¹kach_18
7428791,224;5548303,835;13621;na ³¹kach_24
7428897,843;5548304,796;13621;na ³¹kach_7
7429239,965;5548207,466;20569;so³tysowska_1
7429247,54;5548187,96;20569;so³tysowska_3
7429285,01;5548276,857;20569;so³tysowska_49
7429289,594;5548399,317;2614;centralna_44
7429291,43;5548383,04;2614;centralna_46
7429250,373;5548314,26;2614;centralna_48
7429242,194;5548312,63;2614;centralna_50
7429291,694;5548321,148;2614;centralna_47
7429304,19;5548354,03;2614;centralna_45
7429249,982;5548348,915;2614;centralna_38a
7429323,806;5548423,516;2614;centralna_43
7429307,834;5548428,168;2614;centralna_42
7429217,765;5548206,33;20569;so³tysowska_4
7429220,296;5548185,469;20569;so³tysowska_8
7429596,926;5548541,376;24772;woŸniców_13
7429567,695;5548550,24;24772;woŸniców_11
7429521,586;5548565,385;24772;woŸniców_7
